issue,category,priority,resolution,success_rate,ticket_count
VPN not connecting after certificate update,Network,High,"1. Open VPN client settings\n2. Navigate to certificate management\n3. Import new certificate from IT portal\n4. Restart VPN service\n5. Test connection",0.92,45
Outlook keeps crashing on startup,Email,High,"1. Close Outlook completely via Task Manager\n2. Navigate to %localappdata%\Microsoft\Outlook\n3. Delete all .ost files\n4. Restart Outlook - it will rebuild the cache\n5. If issue persists create new profile",0.88,38
Printer not responding to print jobs,Hardware,Medium,"1. Open Services (services.msc)\n2. Restart Print Spooler service\n3. Clear print queue in Control Panel > Devices\n4. Remove and re-add printer\n5. Update printer driver from manufacturer website",0.85,52
Laptop running extremely slow,Software,Medium,"1. Open Task Manager check CPU/RAM usage\n2. Disable unnecessary startup programs\n3. Run Disk Cleanup utility\n4. Check for Windows updates\n5. Run full antivirus scan\n6. If RAM usage consistently high consider upgrade",0.78,67
Unable to access shared network drive,Network,High,"1. Verify network cable connection or WiFi\n2. Try accessing via \\server-name\share-name\n3. Run 'net use' in cmd to check mapped drives\n4. Disconnect and reconnect mapped drive\n5. Check Active Directory permissions with IT",0.91,41
Microsoft Teams audio not working,Software,Medium,"1. Close Teams completely\n2. Check Windows sound settings - ensure correct output device\n3. In Teams settings verify audio device selection\n4. Run Teams audio troubleshooter\n5. Update audio drivers\n6. Reinstall Teams if needed",0.82,29
Password reset needed - locked out of account,Account,Critical,"1. Use self-service password reset portal at password.company.com\n2. Verify identity with security questions or authenticator app\n3. Create new password meeting complexity requirements\n4. Update password on all devices\n5. If locked contact helpdesk for manual unlock",0.95,103
Blue screen error on startup,Hardware,Critical,"1. Note error code from BSOD\n2. Boot into Safe Mode\n3. Update all drivers especially graphics and chipset\n4. Run Windows Memory Diagnostic\n5. Check for disk errors with chkdsk\n6. If persists may need hardware replacement",0.71,22
WiFi constantly disconnecting,Network,Medium,"1. Update WiFi adapter driver\n2. Forget network and reconnect\n3. Change WiFi power management - disable 'allow computer to turn off'\n4. Change router channel if in congested area\n5. Test with ethernet to isolate WiFi issue",0.86,58
Cannot install software - insufficient permissions,Software,Low,"1. Check if software is in company approved list\n2. Submit software request ticket\n3. For approved software use Software Center (Windows) or Self Service (Mac)\n4. If urgent contact IT for temporary admin rights",0.93,34
Monitor display flickering,Hardware,Low,"1. Check cable connections - try different cable\n2. Update graphics driver\n3. Adjust refresh rate in display settings\n4. Test monitor on different computer to isolate issue\n5. Replace monitor if hardware fault confirmed",0.79,19
Email attachments not opening,Email,Medium,"1. Check file extension is allowed by company policy\n2. Try saving attachment to disk first\n3. Scan attachment with antivirus\n4. Check if correct application is installed for file type\n5. Try different email client or webmail\n6. Contact sender for different format",0.84,31
